Time resolution is 1 ps
A=0000 B=0000 => Diff=0000 Cout=1
A=0001 B=0000 => Diff=0001 Cout=1
A=0010 B=0000 => Diff=0010 Cout=1
A=0011 B=0000 => Diff=0011 Cout=1
A=0100 B=0000 => Diff=0100 Cout=1
A=0101 B=0000 => Diff=0101 Cout=1
A=0110 B=0000 => Diff=0110 Cout=1
A=0111 B=0000 => Diff=0111 Cout=1
A=1000 B=0000 => Diff=1000 Cout=1
A=1001 B=0000 => Diff=1001 Cout=1
A=1010 B=0000 => Diff=1010 Cout=1
A=1011 B=0000 => Diff=1011 Cout=1
A=1100 B=0000 => Diff=1100 Cout=1
A=1101 B=0000 => Diff=1101 Cout=1
A=1110 B=0000 => Diff=1110 Cout=1
A=1111 B=0000 => Diff=1111 Cout=1
A=0000 B=0001 => Diff=1111 Cout=0
A=0001 B=0001 => Diff=0000 Cout=1
A=0010 B=0001 => Diff=0001 Cout=1
A=0011 B=0001 => Diff=0010 Cout=1
A=0100 B=0001 => Diff=0011 Cout=1
A=0101 B=0001 => Diff=0100 Cout=1
A=0110 B=0001 => Diff=0101 Cout=1
A=0111 B=0001 => Diff=0110 Cout=1
A=1000 B=0001 => Diff=0111 Cout=1
A=1001 B=0001 => Diff=1000 Cout=1
A=1010 B=0001 => Diff=1001 Cout=1
A=1011 B=0001 => Diff=1010 Cout=1
A=1100 B=0001 => Diff=1011 Cout=1
A=1101 B=0001 => Diff=1100 Cout=1
A=1110 B=0001 => Diff=1101 Cout=1
A=1111 B=0001 => Diff=1110 Cout=1
A=0000 B=0010 => Diff=1110 Cout=0
A=0001 B=0010 => Diff=1111 Cout=0
A=0010 B=0010 => Diff=0000 Cout=1
A=0011 B=0010 => Diff=0001 Cout=1
A=0100 B=0010 => Diff=0010 Cout=1
A=0101 B=0010 => Diff=0011 Cout=1
A=0110 B=0010 => Diff=0100 Cout=1
A=0111 B=0010 => Diff=0101 Cout=1
A=1000 B=0010 => Diff=0110 Cout=1
A=1001 B=0010 => Diff=0111 Cout=1
A=1010 B=0010 => Diff=1000 Cout=1
A=1011 B=0010 => Diff=1001 Cout=1
A=1100 B=0010 => Diff=1010 Cout=1
A=1101 B=0010 => Diff=1011 Cout=1
A=1110 B=0010 => Diff=1100 Cout=1
A=1111 B=0010 => Diff=1101 Cout=1
A=0000 B=0011 => Diff=1101 Cout=0
A=0001 B=0011 => Diff=1110 Cout=0
A=0010 B=0011 => Diff=1111 Cout=0
A=0011 B=0011 => Diff=0000 Cout=1
A=0100 B=0011 => Diff=0001 Cout=1
A=0101 B=0011 => Diff=0010 Cout=1
A=0110 B=0011 => Diff=0011 Cout=1
A=0111 B=0011 => Diff=0100 Cout=1
A=1000 B=0011 => Diff=0101 Cout=1
A=1001 B=0011 => Diff=0110 Cout=1
A=1010 B=0011 => Diff=0111 Cout=1
A=1011 B=0011 => Diff=1000 Cout=1
A=1100 B=0011 => Diff=1001 Cout=1
A=1101 B=0011 => Diff=1010 Cout=1
A=1110 B=0011 => Diff=1011 Cout=1
A=1111 B=0011 => Diff=1100 Cout=1
A=0000 B=0100 => Diff=1100 Cout=0
A=0001 B=0100 => Diff=1101 Cout=0
A=0010 B=0100 => Diff=1110 Cout=0
A=0011 B=0100 => Diff=1111 Cout=0
A=0100 B=0100 => Diff=0000 Cout=1
A=0101 B=0100 => Diff=0001 Cout=1
A=0110 B=0100 => Diff=0010 Cout=1
A=0111 B=0100 => Diff=0011 Cout=1
A=1000 B=0100 => Diff=0100 Cout=1
A=1001 B=0100 => Diff=0101 Cout=1
A=1010 B=0100 => Diff=0110 Cout=1
A=1011 B=0100 => Diff=0111 Cout=1
A=1100 B=0100 => Diff=1000 Cout=1
A=1101 B=0100 => Diff=1001 Cout=1
A=1110 B=0100 => Diff=1010 Cout=1
A=1111 B=0100 => Diff=1011 Cout=1
A=0000 B=0101 => Diff=1011 Cout=0
A=0001 B=0101 => Diff=1100 Cout=0
A=0010 B=0101 => Diff=1101 Cout=0
A=0011 B=0101 => Diff=1110 Cout=0
A=0100 B=0101 => Diff=1111 Cout=0
A=0101 B=0101 => Diff=0000 Cout=1
A=0110 B=0101 => Diff=0001 Cout=1
A=0111 B=0101 => Diff=0010 Cout=1
A=1000 B=0101 => Diff=0011 Cout=1
A=1001 B=0101 => Diff=0100 Cout=1
A=1010 B=0101 => Diff=0101 Cout=1
A=1011 B=0101 => Diff=0110 Cout=1
A=1100 B=0101 => Diff=0111 Cout=1
A=1101 B=0101 => Diff=1000 Cout=1
A=1110 B=0101 => Diff=1001 Cout=1
A=1111 B=0101 => Diff=1010 Cout=1
A=0000 B=0110 => Diff=1010 Cout=0
A=0001 B=0110 => Diff=1011 Cout=0
A=0010 B=0110 => Diff=1100 Cout=0
A=0011 B=0110 => Diff=1101 Cout=0
